asn=20061	id=-1  	link_model	path_loss_dbm = 101.54706349862968, current bitrate = 250, current distance is 232.00159720003782
asn=20061	id=2   	Node	tx done to=1 numtx=2 acked=false
asn=20095	id=-1  	link_model	path_loss_dbm = 101.54706349862968, current bitrate = 250, current distance is 232.00159720003782
asn=20095	id=2   	Node	tx done to=1 numtx=3 acked=false
asn=20248	id=-1  	link_model	path_loss_dbm = 101.54706349862968, current bitrate = 250, current distance is 232.00159720003782
asn=20330	id=1   	App	generate a packet, seqnum=6 for=2
asn=20334	id=-1  	link_model	path_loss_dbm = 101.54706349862968, current bitrate = 250, current distance is 232.00159720003782
asn=20334	id=1   	Node	tx done to=2 numtx=1 acked=false
asn=20418	id=-1  	link_model	path_loss_dbm = 101.54706349862968, current bitrate = 250, current distance is 232.00159720003782
asn=20418	id=2   	Node	tx done to=1 numtx=4 acked=false
asn=20531	id=-1  	Mobility	update positions
asn=20531	id=2   	Mobility	at 220.010 pos is 243.011
asn=20674	id=-1  	link_model	path_loss_dbm = 102.03031173321952, current bitrate = 250, current distance is 243.01121560004003
asn=20674	id=1   	Node	tx done to=2 numtx=2 acked=false
asn=20741	id=-1  	link_model	path_loss_dbm = 102.03031173321952, current bitrate = 250, current distance is 243.01121560004003
asn=20741	id=2   	Node	tx done to=1 numtx=5 acked=false
asn=20792	id=-1  	link_model	path_loss_dbm = 102.03031173321952, current bitrate = 250, current distance is 243.01121560004003
asn=20792	id=2   	Node	tx done to=1 numtx=6 acked=false
asn=20794	id=2   	App	generate a packet, seqnum=7 for=1
asn=20894	id=-1  	link_model	path_loss_dbm = 102.03031173321952, current bitrate = 250, current distance is 243.01121560004003
asn=20894	id=2   	Node	tx done to=1 numtx=7 acked=false
asn=21014	id=-1  	link_model	path_loss_dbm = 102.03031173321952, current bitrate = 250, current distance is 243.01121560004003
asn=21014	id=1   	Node	tx done to=2 numtx=3 acked=false
asn=21166	id=-1  	link_model	path_loss_dbm = 102.03031173321952, current bitrate = 250, current distance is 243.01121560004003
asn=21166	id=2   	App	dropping app packet seqnum=6 for=1 to=1: tx_limit=8 reached
asn=21166	id=2   	Node	tx done to=1 numtx=8 acked=false, remove packet
asn=21166	id=2   	RPL	warning: no acceptable parent
asn=21166	id=2   	RPL	parent switch: 1 -> null
asn=21166	id=2   	Node	remove the default route
asn=21166	id=2   	TSCH	Orchestra: new time source null
asn=21166	id=2   	TSCH	Orchestra: storing mode: remove uc cell to 1, timeslot=1
asn=21303	id=-1  	link_model	path_loss_dbm = 102.03031173321952, current bitrate = 250, current distance is 243.01121560004003
asn=21303	id=1   	Node	tx done to=2 numtx=4 acked=false
asn=21354	id=-1  	link_model	path_loss_dbm = 102.03031173321952, current bitrate = 250, current distance is 243.01121560004003
asn=21354	id=1   	Node	tx done to=2 numtx=5 acked=false
asn=21439	id=-1  	link_model	path_loss_dbm = 102.03031173321952, current bitrate = 250, current distance is 243.01121560004003
asn=21464	id=-1  	Mobility	update positions
asn=21464	id=2   	Mobility	at 230.008 pos is 254.009
asn=21575	id=-1  	link_model	path_loss_dbm = 102.49166052168226, current bitrate = 250, current distance is 254.00904640004228
asn=21575	id=1   	Node	tx done to=2 numtx=6 acked=false
asn=21609	id=-1  	link_model	path_loss_dbm = 102.49166052168226, current bitrate = 250, current distance is 254.00904640004228
asn=21609	id=1   	Node	tx done to=2 numtx=7 acked=false
asn=21677	id=-1  	link_model	path_loss_dbm = 102.49166052168226, current bitrate = 250, current distance is 254.00904640004228
asn=21677	id=1   	App	dropping app packet seqnum=6 for=2 to=2: tx_limit=8 reached
asn=21677	id=1   	Node	tx done to=2 numtx=8 acked=false, remove packet
asn=22023	id=1   	App	generate a packet, seqnum=7 for=2
asn=22034	id=-1  	link_model	path_loss_dbm = 102.49166052168226, current bitrate = 250, current distance is 254.00904640004228
asn=22034	id=1   	Node	tx done to=2 numtx=1 acked=false
asn=22374	id=-1  	link_model	path_loss_dbm = 102.49166052168226, current bitrate = 250, current distance is 254.00904640004228
asn=22374	id=1   	Node	tx done to=2 numtx=2 acked=false
asn=22397	id=-1  	Main	240 seconds, progress 6.67%
asn=22397	id=-1  	Main	periodic route processing for all nodes
